director_name,actor_1_name,actor_2_name,actor_3_name,genres,Title
Stanley Tucci /screenplay, Armie Hammer, Clémence Poésy, Tony Shalhoub,Drama History,Final Portrait
Scott Speer , Bella Thorne, Patrick Schwarzenegger, Rob Riggle,Romance Drama,Midnight Sun
Ryan Justice /screenplay, Jason Henne , Amanda Delaney, Justin Maina,Thriller,Followers
Steven Spielberg , Zak Penn , Tye Sheridan, Olivia Cooke,Adventure Science Fiction,Ready Player One
Michael Mason /screenplay, John Corbett, Shane Harper, Benjamin Onyango,Drama,God's Not Dead  A Light in Darkness
Aaron Katz /screenplay, Zoë Kravitz, Greta Lee, Michelle Forbes,Action Drama Science Fiction Thriller,Gemini
Adam Rifkin /screenplay, Ariel Winter, Clark Duke, Ellar Coltrane,Drama,The Last Movie Star
John Krasinski /screenplay, Bryan Woods , John Krasinski, Emily Blunt,Drama Science Fiction Thriller,A Quiet Place
Kay Cannon , Jon Hurwitz, Hayden Schlossberg, Brian Kehoe,Comedy,Blockers
Lynne Ramsay /screenplay, Ekaterina Samsonov, Alex Manette, John Doman,Thriller Drama,You Were Never Really Here
John Curran , Andrew Logan , Jason Clarke, Kate Mara,Drama Thriller History,Chappaquiddick
Andrew Haigh /screenplay, Chloë Sevigny, Travis Fimmel, Steve Buscemi,Drama Adventure,Lean on Pete
Sean McNamara , Elissa Matsueda , Helen Hunt, William Hurt,Drama,The Miracle Season
Brad Anderson , Jon Hamm, Rosamund Pike, Dean Norris,Action Thriller Drama,Beirut
Brad Peyton , Dwayne Johnson, Naomie Harris, Malin Åkerman,Action Adventure Science Fiction,Rampage
Jeff Wadlow /screenplay, Chris Roach, Jillian Jacobs (screenplay), Lucy Hale,Thriller Horror,Truth or Dare
Richard Lanni /screenplay, Logan Lerman, Helena Bonham Carter, Gérard Depardieu,Animation Adventure Family History War,Sgt. Stubby  An American Hero
Abby Kohn, Amy Schumer, Michelle Williams, Emily Ratajkowski,Comedy Romance,I Feel Pretty
Jay Chandrasekhar , Jay Chandrasekhar, Paul Soter, Steve Lemme,Comedy Crime Mystery,Super Troopers 2
Deon Taylor /screenplay, Omar Epps, Missi Pyle, William Fichtner,Thriller Horror,Traffik
Peter Livolsi /screenplay, Nick Offerman, Ellen Burstyn, Alex Wolff,Drama,The House of Tomorrow
Anthony Russo and Joe Russo s, Robert Downey Jr., Chris Hemsworth, Mark Ruffalo,Adventure Action Science Fiction,Avengers  Infinity War
Sebastián Lelio /screenplay, Rachel Weisz, Rachel McAdams, Alessandro Nivola,Drama Romance,Disobedience
Per Fly , Per Fly , Ben Kingsley, Theo James,Thriller Drama History,Backstabbing for Beginners
Rob Greenberg, Anna Faris, Eugenio Derbez, Eva Longoria,Romance Comedy,Overboard
Jason Reitman , Charlize Theron, Mackenzie Davis, Mark Duplass,Drama,Tully
Dean Devlin , David Tennant, Robert Sheehan, Carlito Olivero,Thriller Crime Horror,Bad Samaritan
Bobby Miller /screenplay, Anna Friel, Oliver Platt, Anjelica Huston,Drama Comedy Fantasy,The Cleanse
Ben Falcone /screenplay, Melissa McCarthy, Maya Rudolph, Molly Gordon,Comedy,Life of the Party
James McTeigue , Gabrielle Union, Billy Burke, Richard Cabral,Thriller Crime Action Horror,Breaking In
Michael Mayer , Saoirse Ronan, Annette Bening, Corey Stoll,Drama Romance Comedy,The Seagull
Vaughn Stein /screenplay, Simon Pegg, Dexter Fletcher, Max Irons,Crime Drama Thriller,Terminal
Coralie Fargeat /screenplay, Kevin Janssens, Vincent Colombe, Guillaume Bouchède,Fantasy Action Adventure Animation,Revenge
David Leitch , Paul Wernick, Ryan Reynolds (screenplay), Ryan Reynolds,Action Comedy Adventure,Deadpool 2
Bill Holderman /screenplay, Jane Fonda, Candice Bergen, Mary Steenburgen,Comedy Romance Drama,Book Club
Raja Gosnell , Will Arnett, Natasha Lyonne, Ludacris,Adventure Crime Family Comedy,Show Dogs
Ron Howard , Jon Kasdan , Alden Ehrenreich, Woody Harrelson,Adventure Science Fiction,Solo  A Star Wars Story
John Cameron Mitchell , John Cameron Mitchell , Elle Fanning, Alex Sharp,Comedy Music Romance Science Fiction,How to Talk to Girls at Parties
Anthony Byrne , Natalie Dormer , Natalie Dormer, Emily Ratajkowski,Thriller Mystery,In Darkness
Bruce LaBruce , Susanne Sachße, Viva Ruiz, Kembra Pfahler,Drama,The Misandrists
James Franco, Bruce Thierry Cheung, Jeremy Cheung, Jay Davis (screenplay),Science Fiction,Future World
Baltasar Kormákur , Jordan Kandell, David Branson Smith (screenplay), Shailene Woodley,Thriller Romance Adventure,Adrift
Leigh Whannell /screenplay, Betty Gabriel, Harrison Gilbertson, Melanie Vallejo,Action Thriller Science Fiction Horror,Upgrade
Bart Layton /screenplay, Barry Keoghan, Blake Jenner, Jared Abrahamson,Drama Crime Documentary,American Animals
Theresa Bennett /screenplay, Josh Radnor, Aya Cash, Carly Chaikin,Comedy Romance,Social Animals
Gary Ross /screenplay, Sandra Bullock, Cate Blanchett, Anne Hathaway,Crime Comedy Action Thriller,Ocean's 8
Ari Aster /screenplay, Alex Wolff, Milly Shapiro, Ann Dowd,Horror Mystery Thriller,Hereditary
Drew Pearce /screenplay, Sterling K. Brown, Sofia Boutella, Jeff Goldblum,Thriller Science Fiction Action,Hotel Artemis
Director X , Trevor Jackson, Jason Mitchell, Michael K. Williams,Action Crime,Superfly
Brad Bird /screenplay, Holly Hunter, Sarah Vowell, Huckleberry Milner,Action Adventure Animation Family,Incredibles 2
Jeff Tomsic , Mark Steilen , Ed Helms, Jeremy Renner,Comedy Drama,Tag
Dominic Cooke , Saoirse Ronan, Billy Howle, Emily Watson,Drama Romance,On Chesil Beach
Kevin Connolly , Leo Rossi , John Travolta, Kelly Preston,Crime Drama History Thriller,Gotti
J.A. Bayona , Colin Trevorrow , Chris Pratt, Bryce Dallas Howard,Action Adventure Science Fiction,Jurassic World  Fallen Kingdom
Shana Feste /screenplay, Christopher Plummer, Lewis MacDougall, Bobby Cannavale,Comedy Drama,Boundaries
Mike P. Nelson /screenplay, Kate Bosworth, Lance Reddick, Sonoya Mizuno,Thriller Horror,The Domestics
Stefano Sollima , Benicio del Toro, Josh Brolin, Isabela Moner,Action Crime Drama Thriller,Sicario  Day of the Soldado
Debra Granik /screenplay, Ben Foster, Thomasin McKenzie, Jeff Kober,Drama,Leave No Trace
Charles Stone III , Kyrie Irving, Lil Rel Howery, Shaquille O'Neal,Comedy,Uncle Drew
Susanna White , Jessica Chastain, Michael Greyeyes, Chaske Spencer,Drama History Western,Woman Walks Ahead
Gerard McMurray , Y'lan Noel, Lex Scott Davis, Joivan Wade,Action Science Fiction Thriller Horror,The First Purge
Peyton Reed , Erik Sommers, Paul Rudd, Andrew Barrer,Action Adventure Science Fiction Comedy,Ant-Man and the Wasp
Boots Riley /screenplay, Tessa Thompson, Armie Hammer, Steven Yeun,Fantasy Science Fiction Comedy,Sorry to Bother You
Genndy Tartakovsky /screenplay, Adam Sandler, Andy Samberg, Selena Gomez,Family Fantasy Comedy Animation,Hotel Transylvania 3  Summer Vacation
Rawson Marshall Thurber /screenplay, Neve Campbell, Chin Han, Roland Møller,Action,Skyscraper
Bo Burnham /screenplay, Josh Hamilton, Emily Robinson, Missy Yager,Comedy Drama,Eighth Grade
Gus Van Sant /screenplay, Rooney Mara, Jonah Hill, Jack Black,Comedy Drama,"Don't Worry, He Won't Get Far on Foot"
Rob Reiner , Woody Harrelson, Tommy Lee Jones, James Marsden,Drama History Thriller,Shock and Awe
Ol Parker /screenplay, Amanda Seyfried, Pierce Brosnan, Colin Firth,Comedy Romance,Mamma Mia! Here We Go Again
Antoine Fuqua , Denzel Washington, Ashton Sanders, Pedro Pascal,Thriller Action Crime,The Equalizer 2
Carlos López Estrada , Rafael Casal , Janina Gavankar, Ethan Embry,Comedy Drama,Blindspotting
Stephen Susco /screenplay, Rebecca Rittenhouse, Betty Gabriel, Andrew Lees,Horror Mystery Thriller,Unfriended  Dark Web
Édouard Deluc /screenplay, Vincent Cassel, Tuheï Adams, Malik Zidi,Drama Romance,Gauguin – Voyage de Tahiti
Christopher McQuarrie /screenplay, Henry Cavill, Ving Rhames, Simon Pegg,Action Adventure,Mission  Impossible – Fallout
Peter Rida Michail , Michael Jelenic , Scott Menville, Khary Payton,Animation Action Comedy Science Fiction,Teen Titans Go! To the Movies
Tsui Hark , Chen Kuo-Fu , Mark Chao, Feng Shaofeng,Mystery Fantasy Adventure Action,Detective Dee  The Four Heavenly Kings
Elijah Bynum /screenplay, Maika Monroe, Alex Roe, Maia Mitchell,Drama Comedy,Hot Summer Nights
Marc Turtletaub , Kelly Macdonald, Irrfan Khan, David Denman,Drama,Puzzle
Marc Forster , Alex Ross Perry, Allison Schroeder (screenplay), Ewan McGregor,Adventure Comedy Family Fantasy,Christopher Robin
Jennifer Yuh Nelson , Amandla Stenberg, Mandy Moore, Harris Dickinson,Science Fiction Action Drama Romance Adventure Thriller,The Darkest Minds
Susanna Fogel /screenplay, Mila Kunis, Kate McKinnon, Justin Theroux,Action Comedy,The Spy Who Dumped Me
Desiree Akhavan , Cecilia Frugiuele , Chloë Grace Moretz, Sasha Lane,Drama,The Miseducation of Cameron Post
Augustine Frizzell /screenplay, Camila Morrone, Kyle Mooney, Joel Allen,Comedy,Never Goin' Back
